No Cargo de Exercício - REGIÃO,No Cargo de Exercício - DIRETORIA DE ENSINO,6407 - PROF. EDUC. BÁSICA I - CLASSE QUADRO PERMANENTE - EFETIVO,"6407 - PROF. EDUC. BÁSICA I - CLASSE QUADRO PERMANENTE - CATEG.     ""F""    ",6407 - PROF. EDUC. BÁSICA I - CLASSE QUADRO PERMANENTE - ESTÁ- VEL   ,"6407 - PROF. EDUC. BÁSICA I - CLASSE QUADRO PERMANENTE - CATEG    ""L""",6407 - PROF. EDUC. BÁSICA I - 1-TOTAL  PERMA-  NENTE,6407 - PROF. EDUC. BÁSICA I - 2- TOTAL         TEMPO- RÁRIO ,6407 - PROF. EDUC. BÁSICA I - TOTAL                 PEB-I              CLASSE  ,6407 - PROF. EDUC.  BÁSICA I - AULA - 1-TOTAL  PERMA-  NENTE (CATEG. F),6407 - PROF. EDUC.  BÁSICA I - AULA - 2- TOTAL         TEMPO- RÁRIO ,6407 - PROF. EDUC.  BÁSICA I - AULA - TOTAL               PEB-I                     AULA,6409 - PROF. EDUC. BÁSICA II - QUADRO PERMANENTE - EFETIVO,"6409 - PROF. EDUC. BÁSICA II - QUADRO PERMANENTE - CATEG.        ""F""  ",6409 - PROF. EDUC. BÁSICA II - QUADRO PERMANENTE - ESTÁ- VEL   ,6409 - PROF. EDUC. BÁSICA II - QUADRO PERMANENTE - C.L.T.,6409 - PROF. EDUC. BÁSICA II - 1-TOTAL  PERMA-  NENTE,6409 - PROF. EDUC. BÁSICA II - 2- TOTAL         TEMPO- RÁRIO ,6409 - PROF. EDUC. BÁSICA II - TOTAL             PEB -II,6408 - PROFESSOR II -  QUADRO PERMANENTE - CATEG 'F',6408 - PROFESSOR II -  QUADRO PERMANENTE - ESTÁ-  VEL,6408 - PROFESSOR II - TOTAL PROF. II,TOTAL DOCENTES,,,
CAPITAL      ,D.E.REG. CENTRO               , 287 , 204 , -   , -   , 491 , 232 , 723 , 24 , 50 , 74 , 1.306 , 359 , 3 , -   , 1.668 , 127 , 1.795 , -   , -   , -   , 2.592 ,,,
CAPITAL      ,D.E.REG. CENTRO OESTE         , 345 , 165 , -   , -   , 510 , 198 , 708 , 20 , 116 , 136 , 1.456 , 311 , 2 , -   , 1.769 , 235 , 2.004 , -   , 1 , 1 , 2.849 ,,,
CAPITAL      ,D.E.REG. CENTRO SUL           , 482 , 200 , 2 , -   , 684 , 235 , 919 , 21 , 56 , 77 , 1.564 , 407 , 1 , -   , 1.972 , 141 , 2.113 , -   , -   , -   , 3.109 ,,,
CAPITAL      ,D.E.REG. LESTE 1              , 627 , 364 , -   , -   , 991 , 241 , 1.232 , 41 , 42 , 83 , 2.153 , 556 , 3 , -   , 2.712 , 164 , 2.876 , -   , -   , -   , 4.191 ,,,
CAPITAL      ,D.E.REG. LESTE 2              , 695 , 487 , 1 , -   , 1.183 , 197 , 1.380 , 66 , 34 , 100 , 2.554 , 938 , 5 , -   , 3.497 , 93 , 3.590 , -   , 1 , 1 , 5.071 ,,,
CAPITAL      ,D.E.REG. LESTE 3              , 422 , 395 , 1 , -   , 818 , 213 , 1.031 , 45 , 76 , 121 , 1.938 , 610 , 2 , -   , 2.550 , 211 , 2.761 , -   , -   , -   , 3.913 ,,,
CAPITAL      ,D.E.REG. LESTE 4              , 545 , 208 , -   , -   , 753 , 145 , 898 , 32 , 29 , 61 , 1.955 , 457 , 5 , -   , 2.417 , 159 , 2.576 , 1 , 1 , 2 , 3.537 ,,,
CAPITAL      ,D.E.REG. LESTE 5              , 466 , 152 , 1 , -   , 619 , 173 , 792 , 29 , 77 , 106 , 1.749 , 462 , 2 , -   , 2.213 , 304 , 2.517 , -   , -   , -   , 3.415 ,,,
CAPITAL      ,D.E.REG. NORTE 1              , 666 , 267 , 3 , -   , 936 , 285 , 1.221 , 77 , 120 , 197 , 2.476 , 586 , 4 , -   , 3.066 , 223 , 3.289 , 1 , -   , 1 , 4.708 ,,,
CAPITAL      ,D.E.REG. NORTE 2              , 456 , 252 , -   , -   , 708 , 269 , 977 , 34 , 81 , 115 , 1.650 , 376 , 2 , -   , 2.028 , 204 , 2.232 , -   , -   , -   , 3.324 ,,,
CAPITAL      ,D.E.REG. SUL 1                , 614 , 360 , 1 , -   , 975 , 315 , 1.290 , 36 , 113 , 149 , 2.439 , 515 , 1 , -   , 2.955 , 250 , 3.205 , -   , -   , -   , 4.644 ,,,
CAPITAL      ,D.E.REG. SUL 2                , 584 , 463 , 2 , -   , 1.049 , 373 , 1.422 , 65 , 148 , 213 , 2.438 , 680 , 2 , -   , 3.120 , 238 , 3.358 , -   , -   , -   , 4.993 ,,,
CAPITAL      ,D.E.REG. SUL 3                , 560 , 573 , 1 , -   , 1.134 , 328 , 1.462 , 92 , 89 , 181 , 2.542 , 714 , 2 , -   , 3.258 , 209 , 3.467 , -   , -   , -   , 5.110 ,,,
GDE_SP       ,D.E.REG. CAIEIRAS             , 122 , 81 , 2 , -   , 205 , 22 , 227 , 60 , 192 , 252 , 1.749 , 516 , 2 , -   , 2.267 , 201 , 2.468 , -   , -   , -   , 2.947 ,,,
GDE_SP       ,D.E.REG. CARAPICUIBA          , 528 , 152 , 3 , -   , 683 , 206 , 889 , 71 , 136 , 207 , 2.047 , 600 , 3 , -   , 2.650 , 157 , 2.807 , -   , -   , -   , 3.903 ,,,
GDE_SP       ,D.E.REG. DIADEMA              , 273 , 206 , -   , -   , 479 , 136 , 615 , 20 , 54 , 74 , 1.414 , 365 , -   , -   , 1.779 , 110 , 1.889 , -   , -   , -   , 2.578 ,,,
GDE_SP       ,D.E.REG. GUARULHOS NORTE      , 388 , 183 , -   , -   , 571 , 41 , 612 , 54 , 95 , 149 , 2.275 , 712 , -   , -   , 2.987 , 98 , 3.085 , 1 , -   , 1 , 3.847 ,,,
GDE_SP       ,D.E.REG. GUARULHOS SUL        , 348 , 222 , -   , -   , 570 , 106 , 676 , 40 , 100 , 140 , 2.155 , 734 , 3 , -   , 2.892 , 135 , 3.027 , -   , -   , -   , 3.843 ,,,
GDE_SP       ,D.E.REG. ITAPECERICA SERRA    , 130 , 64 , -   , -   , 194 , 64 , 258 , 33 , 120 , 153 , 1.110 , 319 , -   , -   , 1.429 , 173 , 1.602 , -   , -   , -   , 2.013 ,,,
GDE_SP       ,D.E.REG. ITAPEVI              , 65 , 7 , -   , -   , 72 , -   , 72 , 66 , 111 , 177 , 1.257 , 508 , 3 , -   , 1.768 , 201 , 1.969 , -   , -   , -   , 2.218 ,,,
GDE_SP       ,D.E.REG. ITAQUAQUECETUBA      , 42 , 63 , -   , -   , 105 , 2 , 107 , 56 , 48 , 104 , 1.728 , 591 , 1 , -   , 2.320 , 152 , 2.472 , -   , -   , -   , 2.683 ,,,
GDE_SP       ,D.E.REG. MAUA                 , 659 , 333 , -   , -   , 992 , 244 , 1.236 , 37 , 67 , 104 , 2.103 , 577 , 1 , -   , 2.681 , 65 , 2.746 , 1 , -   , 1 , 4.087 ,,,
GDE_SP       ,D.E.REG. MOGI CRUZES          , 117 , 58 , -   , -   , 175 , 11 , 186 , 28 , 137 , 165 , 1.567 , 419 , 1 , -   , 1.987 , 144 , 2.131 , -   , -   , -   , 2.482 ,,,
GDE_SP       ,D.E.REG. OSASCO               , 16 , 4 , -   , -   , 20 , 1 , 21 , 56 , 117 , 173 , 1.868 , 456 , 1 , -   , 2.325 , 165 , 2.490 , -   , -   , -   , 2.684 ,,,
GDE_SP       ,D.E.REG. SANTO ANDRE          , 364 , 99 , -   , -   , 463 , 186 , 649 , 33 , 79 , 112 , 1.893 , 458 , 2 , -   , 2.353 , 203 , 2.556 , -   , 1 , 1 , 3.318 ,,,
